date,home,away,market,prob,odds,ev,stake_pct,stake_amt,is_win,profit,bankroll,clv,cum_profit,peak,drawdown
2024-05-11,Nott'm Forest,Chelsea,home,0.4186,3.4,0.42324000000000006,0.04408750000000001,27.705696503663226,False,-27.705696503663226,600.7195148070988,0.0,600.7195148070989,1529.1615134740478,-0.6071575765451057
2024-05-11,Tottenham,Burnley,away,0.2784,7.0,0.9487999999999999,0.03953333333333333,23.748444818707302,False,-23.748444818707302,576.9710699883915,0.0,576.9710699883917,1529.1615134740478,-0.6226879470190224
2024-05-11,Wolves,Crystal Palace,away,0.6519,2.38,0.5515220000000001,0.09991340579710146,57.64714464893799,True,79.55305961553442,656.5241296039259,0.0,656.5241296039261,1529.1615134740478,-0.5706639724979788
2024-05-11,Everton,Sheffield United,home,0.7747,1.4,0.0845800000000001,0.052862500000000076,34.70550680118758,True,13.88220272047503,670.4063323244009,0.0,670.4063323244011,1529.1615134740478,-0.5615856621964486
2024-05-11,Fulham,Man City,home,0.2122,13.0,1.7586,0.036637499999999996,24.562012000535233,False,-24.562012000535233,645.8443203238656,0.0,645.844320323866,1529.1615134740478,-0.5776480674977261
2024-05-11,Newcastle,Brighton,home,0.7739,1.57,0.2150230000000002,0.09430833333333341,60.908501442543276,False,-60.908501442543276,584.9358188813223,0.0,584.9358188813226,1529.1615134740478,-0.6174793743321282
2024-05-11,Bournemouth,Brentford,draw,0.4233,4.0,0.6932,0.05776666666666667,33.789792470711056,False,-33.789792470711056,551.1460264106113,0.0,551.1460264106115,1529.1615134740478,-0.6395763158082088
2024-05-12,Man United,Arsenal,home,0.1985,7.0,0.38949999999999996,0.016229166666666666,8.944640720288879,False,-8.944640720288879,542.2013856903224,0.0,542.2013856903227,1529.1615134740478,-0.6454256918495714
2024-05-13,Aston Villa,Liverpool,home,0.3763,4.2,0.5804600000000002,0.04534843750000001,24.587985651390984,False,-24.587985651390984,517.6134000389313,0.0,517.6134000389318,1529.1615134740478,-0.6615050827018368
2024-05-14,Tottenham,Man City,home,0.1617,6.5,0.05105000000000004,0.0023204545454545474,1.2010983669085211,False,-1.2010983669085211,516.4123016720229,0.0,516.4123016720232,1529.1615134740478,-0.6622905447712947
2024-05-15,Brighton,Chelsea,away,0.5886,1.95,0.14776999999999996,0.03888684210526315,20.081643636335475,True,19.0775614545187,535.4898631265415,0.0,535.4898631265419,1529.1615134740478,-0.6498147132215083
2024-05-15,Man United,Newcastle,away,0.5398,2.3,0.24153999999999987,0.04644999999999998,24.87350414222784,False,-24.87350414222784,510.6163589843137,0.0,510.61635898431405,1529.1615134740478,-0.6660808197923692
2024-05-19,Liverpool,Wolves,away,0.1342,15.0,1.0130000000000003,0.01808928571428572,9.236685208055535,False,-9.236685208055535,501.3796737762582,0.0,501.3796737762585,1529.1615134740478,-0.672121179248625
2024-05-19,Crystal Palace,Aston Villa,home,0.7582,1.85,0.4026700000000001,0.1,50.13796737762582,True,42.61727227098195,543.9969460472402,0.0,543.9969460472405,1529.1615134740478,-0.6442514794847581
2024-05-19,Luton,Fulham,home,0.537,2.9,0.5573000000000001,0.07332894736842108,39.89072342527987,False,-39.89072342527987,504.1062226219603,0.0,504.1062226219606,1529.1615134740478,-0.6703381440220141
2024-05-19,Chelsea,Bournemouth,away,0.2028,6.0,0.2168000000000001,0.010840000000000006,5.464511453222053,False,-5.464511453222053,498.64171116873825,0.0,498.6417111687386,1529.1615134740478,-0.6739116785408154
2024-05-19,Brentford,Newcastle,draw,0.309,3.9,0.20510000000000006,0.017681034482758626,8.816501289716228,False,-8.816501289716228,489.82520987902205,0.0,489.8252098790224,1529.1615134740478,-0.67967725739696
2024-05-19,Arsenal,Everton,draw,0.3783,8.0,2.0264,0.07237142857142857,35.449350189244655,False,-35.449350189244655,454.37585968977737,0.0,454.3758596897777,1529.1615134740478,-0.70285947188306
2024-05-19,Brighton,Man United,away,0.4674,2.9,0.3554599999999999,0.046771052631578935,21.251637248069503,True,40.378110771332054,494.7539704611094,0.0,494.75397046110976,1529.1615134740478,-0.6764540788519483
2024-05-19,Man City,West Ham,away,0.0748,21.0,0.5708000000000002,0.0071350000000000025,3.530069579240017,False,-3.530069579240017,491.2239008818694,0.0,491.2239008818697,1529.1615134740478,-0.6787625789993397
2024-05-19,Sheffield United,Tottenham,home,0.3782,7.0,1.6473999999999998,0.06864166666666666,33.71842726303298,False,-33.71842726303298,457.5054736188364,0.0,457.50547361883673,1529.1615134740478,-0.7008128509725265
